task_id,algorithm,action_id,action,digital_twin_orchestration,reference_action,priority_score,high_priority,dependency_count,dependency_met,deadline_ms,exec_delay_ms,exec_energy_kj,exec_cpu_util,bandwidth_utilization,deadline_met,compute_energy_kj,comm_energy_kj,data_in_mb,data_out_mb,cpu_cores,memory_quota,priority_qos,failure_probability,original_action_id,original_action,reorchestrated,dt_recovered,dt_recovery_time_ms,trust_threshold,dt_timeliness,dt_reliability,dt_availability,dtt_score,trust_violation,dt_original_predicted_dtt,dt_selected_predicted_dtt,fuzzy_pred_action,task_count,avg_delay_ms,avg_energy_kj,success_rate,advanced_task_priority_rate,high_priority_completion_rate,dependency_aware_success_rate,fuzzy_accuracy,edge_hourly_energy_kj,edge_cpu_utilization,edge_bandwidth_utilization,edge_cpu_bw_utilization,avg_dtt_score,trust_violation_rate,high_priority_trusted_completion_rate,reorchestration_count,reorchestration_rate,dt_recovered_count,dt_recovered_rate,avg_recovery_time_ms
35,DT-FedDQL,1,edge,1,0,0.3,0,0,1,35.8955407117668,18.923620480550834,0.03207531159489285,0.7434382881183316,0.7550855674639909,1,0.028159461981029706,0.003915849613863143,1.2890417385101318,0.9023292169570922,,,0,0.155,1,edge,0,0,0.0,0.8,1.0,0.845,1.0,0.845,0,0.845,0.845,0,3000,20.947,0.030977,0.8467,100.0,100.0,100.0,98.1,60.504,74.4316,76.3239,75.3777,0.8532,15.3333,100.0,0,0.0,1,0.0333,0.0007
36,DT-FedDQL,1,edge,1,0,0.3,0,1,1,35.488166417818974,23.92128324842453,0.02912681463869386,0.7418723351139429,0.7395329816274484,1,0.02690077958297181,0.0022260350557220497,0.5328702545166015,0.37300917816162105,,,0,0.155,1,edge,0,0,0.0,0.8,1.0,0.845,1.0,0.845,0,0.845,0.845,0,3000,20.947,0.030977,0.8467,100.0,100.0,100.0,98.1,60.504,74.4316,76.3239,75.3777,0.8532,15.3333,100.0,0,0.0,1,0.0333,0.0007
37,DT-FedDQL,1,edge,1,0,0.3,0,0,1,35.90743201935144,20.32212364149697,0.02917531945927984,0.7442212646205258,0.7520163705752679,1,0.028065770526259033,0.001109548933020808,1.1398164463043212,0.7978715124130248,,,0,0.155,1,edge,0,0,0.0,0.8,1.0,0.845,1.0,0.845,0,0.845,0.845,0,3000,20.947,0.030977,0.8467,100.0,100.0,100.0,98.1,60.504,74.4316,76.3239,75.3777,0.8532,15.3333,100.0,0,0.0,1,0.0333,0.0007
38,DT-FedDQL,1,edge,1,0,0.3,0,0,1,36.25972494333801,18.16383508695859,0.03128389147447487,0.7420425473970287,0.7644230602292748,1,0.02858423156319738,0.0026996599112774924,1.743033494949341,1.2201234464645385,,,0,0.155,1,edge,0,0,0.0,0.8,1.0,0.845,1.0,0.845,0,0.845,0.845,0,3000,20.947,0.030977,0.8467,100.0,100.0,100.0,98.1,60.504,74.4316,76.3239,75.3777,0.8532,15.3333,100.0,0,0.0,1,0.0333,0.0007
39,DT-FedDQL,1,edge,1,0,0.3,0,0,1,35.70307171333968,23.092754649624776,0.02926264346117913,0.7412595708948343,0.7488283772530365,1,0.027433664360303964,0.0018289791008751673,0.9848152351379394,0.6893706645965576,,,0,0.155,1,edge,0,0,0.0,0.8,1.0,0.845,1.0,0.845,0,0.845,0.845,0,3000,20.947,0.030977,0.8467,100.0,100.0,100.0,98.1,60.504,74.4316,76.3239,75.3777,0.8532,15.3333,100.0,0,0.0,1,0.0333,0.0007
40,DT-FedDQL,1,edge,1,0,0.3,0,0,1,35.995703522791324,23.822006426935786,0.03129870980473484,0.7551829356512464,0.7517919950959987,1,0.029603715556993152,0.0016949942477416885,1.128907241821289,0.7902350692749023,,,0,0.155,1,edge,0,0,0.0,0.8,1.0,0.845,1.0,0.845,0,0.845,0.845,0,3000,20.947,0.030977,0.8467,100.0,100.0,100.0,98.1,60.504,74.4316,76.3239,75.3777,0.8532,15.3333,100.0,0,0.0,1,0.0333,0.0007
41,DT-FedDQL,1,edge,1,0,0.3,0,1,1,36.557872119620555,23.88075995974171,0.033988702910956695,0.745889344994766,0.7700201423006305,0,0.02950233336096722,0.0044863695499894754,2.015165338516235,1.4106157369613646,,,0,0.155,1,edge,0,0,0.0,0.8,1.0,0.845,1.0,0.845,1,0.845,0.845,0,3000,20.947,0.030977,0.8467,100.0,100.0,100.0,98.1,60.504,74.4316,76.3239,75.3777,0.8532,15.3333,100.0,0,0.0,1,0.0333,0.0007
42,DT-FedDQL,1,edge,1,0,0.3,0,0,1,36.00790819042483,21.80249818900108,0.03053740593355107,0.749429760482949,0.7564372002685391,1,0.029098362752987043,0.0014390431805640256,1.3547585391998291,0.9483309774398804,,,0,0.155,1,edge,0,0,0.0,0.8,1.0,0.845,1.0,0.845,0,0.845,0.845,0,3000,20.947,0.030977,0.8467,100.0,100.0,100.0,98.1,60.504,74.4316,76.3239,75.3777,0.8532,15.3333,100.0,0,0.0,1,0.0333,0.0007
43,DT-FedDQL,1,edge,1,0,0.3,0,0,1,35.8881761424168,22.886556255133012,0.030266114719520197,0.7559999546100579,0.7468893118364005,1,0.029392614358851564,0.0008735003606686349,0.890537281036377,0.6233760967254638,,,0,0.155,1,edge,0,0,0.0,0.8,1.0,0.845,1.0,0.845,0,0.845,0.845,0,3000,20.947,0.030977,0.8467,100.0,100.0,100.0,98.1,60.504,74.4316,76.3239,75.3777,0.8532,15.3333,100.0,0,0.0,1,0.0333,0.0007
44,DT-FedDQL,1,edge,1,0,0.3,0,0,1,35.50101448538558,20.176325242306845,0.028139161131636076,0.7483404018712003,0.7360100063280038,0,0.027582224020286976,0.0005569371113491018,0.3615821170806885,0.2531074819564819,,,0,0.155,1,edge,0,0,0.0,0.8,1.0,0.845,1.0,0.845,1,0.845,0.845,0,3000,20.947,0.030977,0.8467,100.0,100.0,100.0,98.1,60.504,74.4316,76.3239,75.3777,0.8532,15.3333,100.0,0,0.0,1,0.0333,0.0007
45,DT-FedDQL,1,edge,1,0,0.3,0,0,1,35.431909465418656,20.128557013093737,0.029351890408572414,0.7498723124189719,0.7365735676140359,1,0.027836815433623405,0.0015150749749490082,0.3889826393127441,0.2722878475189209,,,0,0.155,1,edge,0,0,0.0,0.8,1.0,0.845,1.0,0.845,0,0.845,0.845,0,3000,20.947,0.030977,0.8467,100.0,100.0,100.0,98.1,60.504,74.4316,76.3239,75.3777,0.8532,15.3333,100.0,0,0.0,1,0.0333,0.0007
46,DT-FedDQL,1,edge,1,0,0.3,0,0,1,35.83408543467695,24.84178219297374,0.029252836567311667,0.7481361471314975,0.747476418451628,1,0.02831771540707068,0.000935121160240988,0.9190825843811035,0.6433578090667724,,,0,0.155,1,edge,0,0,0.0,0.8,1.0,0.845,1.0,0.845,0,0.845,0.845,0,3000,20.947,0.030977,0.8467,100.0,100.0,100.0,98.1,60.504,74.4316,76.3239,75.3777,0.8532,15.3333,100.0,0,0.0,1,0.0333,0.0007
47,DT-FedDQL,1,edge,1,0,0.3,0,0,1,36.17720576127869,22.87010389255346,0.0324585147740331,0.7504510341814633,0.7614988730992213,1,0.02958048804898872,0.002878026725044378,1.60085862159729,1.1206010351181028,,,0,0.155,1,edge,0,0,0.0,0.8,1.0,0.845,1.0,0.845,0,0.845,0.845,0,3000,20.947,0.030977,0.8467,100.0,100.0,100.0,98.1,60.504,74.4316,76.3239,75.3777,0.8532,15.3333,100.0,0,0.0,1,0.0333,0.0007
