task_id,algorithm,action_id,action,digital_twin_orchestration,reference_action,priority_score,high_priority,dependency_count,dependency_met,deadline_ms,exec_delay_ms,exec_energy_kj,exec_cpu_util,bandwidth_utilization,deadline_met,compute_energy_kj,comm_energy_kj,data_in_mb,data_out_mb,cpu_cores,memory_quota,priority_qos,failure_probability,original_action_id,original_action,reorchestrated,dt_recovered,dt_recovery_time_ms,trust_threshold,dt_timeliness,dt_reliability,dt_availability,dtt_score,trust_violation,dt_original_predicted_dtt,dt_selected_predicted_dtt,task_count,avg_delay_ms,avg_energy_kj,success_rate,advanced_task_priority_rate,high_priority_completion_rate,dependency_aware_success_rate,fuzzy_accuracy,edge_hourly_energy_kj,edge_cpu_utilization,edge_bandwidth_utilization,edge_cpu_bw_utilization,avg_dtt_score,trust_violation_rate,high_priority_trusted_completion_rate,reorchestration_count,reorchestration_rate,dt_recovered_count,dt_recovered_rate,avg_recovery_time_ms
32,Random,0,terminal,0,0,0.3,0,0,1,35.784438726335885,43.70399742421922,0.05755203704439007,0.5411347485539049,0.4776959823232978,0,0.05755203704439007,0.0,0.9674082088470459,0.6771857461929321,,,0,0.155,0,terminal,0,0,0.0,0.8,0.8187909764635262,0.845,1.0,0.6918783751116796,1,,,3000,58.9547,0.046344,0.2837,27.4809,27.4809,32.9749,,60.409,74.2221,76.1815,75.2018,0.6033,71.6333,27.4809,0,0.0,0,0.0,0.0
33,Random,1,edge,0,0,0.3,0,0,1,36.114546432794015,18.556733028690008,0.03598362437248153,0.7422808445933486,0.7567491288540572,1,0.02810639490766154,0.007877229464819991,1.369924602508545,0.9589472217559815,,,0,0.155,1,edge,0,0,0.0,0.8,1.0,0.845,1.0,0.845,0,,,3000,58.9547,0.046344,0.2837,27.4809,27.4809,32.9749,,60.409,74.2221,76.1815,75.2018,0.6033,71.6333,27.4809,0,0.0,0,0.0,0.0
34,Random,2,cloud,0,0,0.3,0,0,1,36.22062162938964,120.0,0.048214242837977796,0.46215602225241914,0.6722501187070752,0,0.042654334392098224,0.005559908445879573,1.5936238288879394,1.1155366802215576,,,0,0.155,2,cloud,0,0,0.0,0.8,0.301838513578247,0.845,1.0,0.2550535439736187,1,,,3000,58.9547,0.046344,0.2837,27.4809,27.4809,32.9749,,60.409,74.2221,76.1815,75.2018,0.6033,71.6333,27.4809,0,0.0,0,0.0,0.0
35,Random,0,terminal,0,0,0.3,0,0,1,35.8955407117668,42.5635780546164,0.058728916765076314,0.5422921920788878,0.48045231977666286,0,0.058728916765076314,0.0,1.2890417385101318,0.9023292169570922,,,0,0.155,0,terminal,0,0,0.0,0.8,0.8433393608428934,0.845,1.0,0.7126217599122449,1,,,3000,58.9547,0.046344,0.2837,27.4809,27.4809,32.9749,,60.409,74.2221,76.1815,75.2018,0.6033,71.6333,27.4809,0,0.0,0,0.0,0.0
36,Random,2,cloud,0,0,0.3,0,1,1,35.488166417818974,103.60221900265421,0.04091693954591895,0.46156027926161913,0.635888302712414,0,0.03961432565454932,0.0013026138913696285,0.5328702545166015,0.37300917816162105,,,0,0.155,2,cloud,0,0,0.0,0.8,0.34254253199837154,0.845,1.0,0.2894484395386239,1,,,3000,58.9547,0.046344,0.2837,27.4809,27.4809,32.9749,,60.409,74.2221,76.1815,75.2018,0.6033,71.6333,27.4809,0,0.0,0,0.0,0.0
37,Random,2,cloud,0,0,0.3,0,0,1,35.90743201935144,119.6550598284125,0.04505202389940846,0.46351772051710494,0.6566939509587799,0,0.041709414590465475,0.003342609308942989,1.1398164463043212,0.7978715124130248,,,0,0.155,2,cloud,0,0,0.0,0.8,0.3000912127815016,0.845,1.0,0.25357707480036884,1,,,3000,58.9547,0.046344,0.2837,27.4809,27.4809,32.9749,,60.409,74.2221,76.1815,75.2018,0.6033,71.6333,27.4809,0,0.0,0,0.0,0.0
38,Random,0,terminal,0,0,0.3,0,0,1,36.25972494333801,43.605002136949146,0.05949261808605542,0.5413616982646858,0.48434294176219783,0,0.05949261808605542,0.0,1.743033494949341,1.2201234464645385,,,0,0.155,0,terminal,0,0,0.0,0.8,0.8315496655511675,0.845,1.0,0.7026594673907365,1,,,3000,58.9547,0.046344,0.2837,27.4809,27.4809,32.9749,,60.409,74.2221,76.1815,75.2018,0.6033,71.6333,27.4809,0,0.0,0,0.0,0.0
39,Random,1,edge,0,0,0.3,0,0,1,35.70307171333968,19.27866836039392,0.028519880123507115,0.7412595708948343,0.7488283772530365,1,0.027433664360303964,0.0010862157632031521,0.9848152351379394,0.6893706645965576,,,0,0.155,1,edge,0,0,0.0,0.8,1.0,0.845,1.0,0.845,0,,,3000,58.9547,0.046344,0.2837,27.4809,27.4809,32.9749,,60.409,74.2221,76.1815,75.2018,0.6033,71.6333,27.4809,0,0.0,0,0.0,0.0
40,Random,0,terminal,0,0,0.3,0,0,1,35.995703522791324,48.63394189937108,0.061085084413157346,0.550121957100831,0.4790799979566661,0,0.061085084413157346,0.0,1.128907241821289,0.7902350692749023,,,0,0.155,0,terminal,0,0,0.0,0.8,0.7401354304627487,0.845,1.0,0.6254144387410226,1,,,3000,58.9547,0.046344,0.2837,27.4809,27.4809,32.9749,,60.409,74.2221,76.1815,75.2018,0.6033,71.6333,27.4809,0,0.0,0,0.0,0.0
41,Random,2,cloud,0,0,0.3,0,1,0,36.557872119620555,120.0,0.050607399231926385,0.4649077874956383,0.6867002371677177,0,0.04441573222245784,0.0061916670094685445,2.015165338516235,1.4106157369613646,,,0,0.155,2,cloud,0,0,0.0,0.8,0.3046489343301713,0.845,1.0,0.25742834950899474,1,,,3000,58.9547,0.046344,0.2837,27.4809,27.4809,32.9749,,60.409,74.2221,76.1815,75.2018,0.6033,71.6333,27.4809,0,0.0,0,0.0,0.0
42,Random,2,cloud,0,0,0.3,0,0,1,36.00790819042483,116.16758119058704,0.04557465634233521,0.4678581337357908,0.6640620004475651,0,0.043253749457679194,0.00232090688465601,1.3547585391998291,0.9483309774398804,,,0,0.155,2,cloud,0,0,0.0,0.8,0.3099652056226382,0.845,1.0,0.2619205987511293,1,,,3000,58.9547,0.046344,0.2837,27.4809,27.4809,32.9749,,60.409,74.2221,76.1815,75.2018,0.6033,71.6333,27.4809,0,0.0,0,0.0,0.0
43,Random,1,edge,0,0,0.3,0,0,1,35.8881761424168,19.14280625991159,0.03040443292878257,0.7559999546100579,0.7468893118364005,1,0.029392614358851564,0.0010118185699310054,0.890537281036377,0.6233760967254638,,,0,0.155,1,edge,0,0,0.0,0.8,1.0,0.845,1.0,0.845,0,,,3000,58.9547,0.046344,0.2837,27.4809,27.4809,32.9749,,60.409,74.2221,76.1815,75.2018,0.6033,71.6333,27.4809,0,0.0,0,0.0,0.0
