algorithm,fpr,tpr,recall,precision,threshold_score
DT-FedDQL,0.010130246020260492,0.08012126461671719,0.08012126461671719,0.9635416666666666,0.8975
DT-FedDQL,0.010130246020260492,0.08055435253356431,0.08055435253356431,0.9637305699481865,0.8975
DT-FedDQL,0.010130246020260492,0.08098744045041144,0.08098744045041144,0.9639175257731959,0.8975
DT-FedDQL,0.010130246020260492,0.08142052836725855,0.08142052836725855,0.9641025641025641,0.8975
DT-FedDQL,0.010130246020260492,0.08185361628410567,0.08185361628410567,0.9642857142857143,0.8975
DT-FedDQL,0.010130246020260492,0.0822867042009528,0.0822867042009528,0.9644670050761421,0.8975
DT-FedDQL,0.010130246020260492,0.08271979211779991,0.08271979211779991,0.9646464646464646,0.8975
DT-FedDQL,0.010130246020260492,0.08315288003464703,0.08315288003464703,0.964824120603015,0.8975
DT-FedDQL,0.010130246020260492,0.08358596795149416,0.08358596795149416,0.965,0.8975
DT-FedDQL,0.010130246020260492,0.08401905586834127,0.08401905586834127,0.9651741293532339,0.8975
DT-FedDQL,0.010130246020260492,0.0844521437851884,0.0844521437851884,0.9653465346534653,0.8975
DT-FedDQL,0.010130246020260492,0.08488523170203552,0.08488523170203552,0.9655172413793104,0.8975
DT-FedDQL,0.011577424023154847,0.08488523170203552,0.08488523170203552,0.9607843137254902,0.8975
DT-FedDQL,0.011577424023154847,0.08531831961888263,0.08531831961888263,0.9609756097560975,0.8975
DT-FedDQL,0.011577424023154847,0.08575140753572975,0.08575140753572975,0.9611650485436893,0.8975
DT-FedDQL,0.011577424023154847,0.08618449545257688,0.08618449545257688,0.961352657004831,0.8975
DT-FedDQL,0.013024602026049204,0.08618449545257688,0.08618449545257688,0.9567307692307693,0.8975
DT-FedDQL,0.013024602026049204,0.08661758336942399,0.08661758336942399,0.9569377990430622,0.8975
DT-FedDQL,0.013024602026049204,0.08705067128627111,0.08705067128627111,0.9571428571428572,0.8975
DT-FedDQL,0.013024602026049204,0.08748375920311824,0.08748375920311824,0.957345971563981,0.8975
DT-FedDQL,0.013024602026049204,0.08791684711996535,0.08791684711996535,0.9575471698113207,0.8975
DT-FedDQL,0.013024602026049204,0.08834993503681247,0.08834993503681247,0.9577464788732394,0.8975
DT-FedDQL,0.013024602026049204,0.0887830229536596,0.0887830229536596,0.9579439252336449,0.8975
DT-FedDQL,0.01447178002894356,0.0887830229536596,0.0887830229536596,0.9534883720930233,0.8975
DT-FedDQL,0.01447178002894356,0.08921611087050671,0.08921611087050671,0.9537037037037037,0.8975
DT-FedDQL,0.015918958031837915,0.08921611087050671,0.08921611087050671,0.9493087557603687,0.8975
DT-FedDQL,0.015918958031837915,0.08964919878735383,0.08964919878735383,0.9495412844036697,0.8975
DT-FedDQL,0.015918958031837915,0.09008228670420096,0.09008228670420096,0.9497716894977168,0.8975
DT-FedDQL,0.015918958031837915,0.09051537462104807,0.09051537462104807,0.95,0.8975
DT-FedDQL,0.015918958031837915,0.0909484625378952,0.0909484625378952,0.9502262443438914,0.8975
DT-FedDQL,0.015918958031837915,0.09138155045474232,0.09138155045474232,0.9504504504504504,0.8975
